isqno,war,name,date_start,date_end,duration,attacker,defender,winner,locn
141,Las Guerras Napoleónicas,LAON,1814-03-09 06:00:00,1814-03-10 17:00:00,1 days 11:00:00,Francia,Prusia,defender,Francia
142,Las Guerras Napoleónicas,ARCIS-SUR-AUBE,1814-03-20 14:00:00,1814-03-21 18:00:00,1 days 04:00:00,Austria,Francia,attacker,Francia
143,Las Guerras Napoleónicas,LIGNY,1815-06-16 14:00:00,1815-06-16 21:30:00,0 days 07:30:00,Francia,Prusia,attacker,Bélgica
144,Las Guerras Napoleónicas,QUATRE BRAS,1815-06-16 14:30:00,1815-06-16 21:30:00,0 days 07:00:00,Francia,Gran Bretaña,defender,Bélgica
145,Las Guerras Napoleónicas,WATERLOO,1815-06-18 11:30:00,1815-06-18 21:30:00,0 days 10:00:00,Francia,Gran Bretaña,defender,Bélgica
146,Guerra de 1812,THE THAMES,1813-10-05 14:00:00,1813-10-05 14:10:00,0 days 00:10:00,EE. UU.,Gran Bretaña,attacker,Canadá
147,Guerra de 1812,CHIPPEWA,1814-07-05 17:00:00,1814-07-05 18:00:00,0 days 01:00:00,Gran Bretaña,EE. UU.,defender,Canadá
148,Guerra de 1812,LUNDY'S LANE,1814-07-25 18:00:00,1814-07-26 00:00:00,0 days 06:00:00,EE. UU.,Gran Bretaña,defender,Canadá
149,Guerra de 1812,NEW ORLEANS,1815-01-08 06:00:00,1815-01-08 06:45:00,0 days 00:45:00,Gran Bretaña,EE. UU.,defender,Luisiana
150,Guerras de Independencia de América Latina,BOYACA,1819-08-07 00:00:00,1819-08-08 00:00:00,1 days 00:00:00,Independentistas,España,attacker,Colombia
151,Guerras de Independencia de América Latina,CARABOBO,1821-06-25 00:00:00,1821-06-26 00:00:00,1 days 00:00:00,Independentistas,España,attacker,Venezuela
152,Guerras de Independencia de América Latina,BOMBONA,1822-04-07 00:00:00,1822-04-08 00:00:00,1 days 00:00:00,Independentistas,España,attacker,Quito
153,Guerras de Independencia de América Latina,PICHINCHA,1822-05-24 09:00:00,1822-05-24 12:00:00,0 days 03:00:00,España,Independentistas,defender,Quito
154,Guerras de Independencia de América Latina,JUNIN,1824-08-06 00:00:00,1824-08-07 00:00:00,1 days 00:00:00,Independentistas,España,attacker,Perú
155,Guerras de Independencia de América Latina,AYACUCHO,1824-12-09 09:00:00,1824-12-09 19:00:00,0 days 10:00:00,España,Independentistas,defender,Perú
